"receiver","balance"
0xf793859eC763477EE2f282186eBB2Fb2E6A71BbA,67.74180548402322
0x84197fa35061a353FDfab8eE125beE39668c056B,63.235249976640105
0x05745Ca3Ac6FFCB336Fcf57e270E67a5eCf06175,20.54270893183984
0xfACbEb3a6422116bbcC9F91f877fc2365076e38E,10.27135446591992
0xbC64827ddfD207bE92435Ac1c378f68571dD798C,5.500843318415533
0x1858C0c5C0a5E18232b22CED0095b7E3dD8A7eDC,5.443817866937557
0x80b26Ea44bAB3d39516094b479B9565D9E80d4C6,4.735117306161147
0x423bF3038EAEE9cB3880DDdc44b8AaA543Aa5B4A,4.113475184565675
0x7701eA24fF3F7f2d27a490Fd56be79f934A513Dc,2.7321841384872454
0xF70fEAa153A0Ffc391525c1226d6E0f00eDF9974,1.848847167231448
0x8E69F1E96658D5820FCd56584F169b6a274C3330,1.3581726302144077
0xf2acBAbD7283918295C2aBcf23287beF1b94C5AE,1.2295944057134673
0xf7AeF5FC0F5d6b030c417d6a44fCc23497Cd3E0a,1.0271356713697684
0x3Fdb50F723Ceb370470D314Ed05C22D7359BE529,1.0113900293384521
0xaB545C8EB7aEbeb4f73B68503245E7050b7B8c19,0.6672152029459036
0xB389efe19DA39DeD65657736E4ed298017d9238C,0.5536035380160773
0x40F61a408D6F05e74c454DF0542754ED2232F48C,0.5088017003853094
0xf4bEC3e032590347Fc36AD40152C7155f8361d39,0.480865141561242
0xD1ecDFc524ddbb8d32Ad62F4a2f5554cb92afEC5,0.40693819066062015
0x67364e192dC953AA4C298E334f519Aa8d85b114f,0.3958841363610937
0xA8735830C77d9cf4Bd9A3acC75DB41Ee045bFD14,0.24962820066580232
0xC0496FE72226E6463A30Cf0E0f0B5BE525262B4E,0.22051965096446835
0x29920a39e695B45F693139382e90Ead7ad9CAe18,0.15201198434822122
0x417575a099Bf120A31356E99cb41Fa32B9C2a92d,0.10271356281289201
0xD87d8537494e703eB56d852c74726fbaDff4B818,0.10238341200792965
0xCc77f18A2a1fD216C7C225BC4096249bFA8e501c,0.0999782569910373
0x4AFeD450a0DB5483A7F70bfbCf0B5231A5e5899F,0.056461523567566764
0x78173cAdc97432e09d6D00d7894b4074B83762C3,0.05067066144940707
0x15Bd2c4E267aE8E24D964C1a92CD16Bce9583127,0.05056950146692261
0x549F317C3dC64886c947e345181F70a7CF65F4B6,0.050528656906014775
0xFBD4C3D8bE6B15b7cf428Db2838bb44C0054fCd2,0.046514697281730404
0x91d45C9aC90c240062488364Ecec5E6Cb46d3f89,0.04064524099532029
0xEB20d24d42110B586B3bc433E331Fe7CC32D1471,0.010199231996968181
0xAe7B63DAd95581947d2925A9e62E57CCbb2dA046,0.010166684384641267
0xB232b6791d83fCe7a99222c63a525c88c227A53D,0.007165052773809116
0xB5923cf3bba441F52578944603Ac62E773cb9bea,0.005068092165743672
0x036d6794fdDE4b5c4ED216503d0717783dF900AA,0.001996461534225437
0x805EBB94084e01da57c4bc70B6FE414aF9148596,0.0015106034235405253
0xa368C967c5eF51cCa5769bCC20A86faCa042B1F6,0.01839599778528
0x8C05776Efb1f4692164F5D6AFf986b39bf5F4651,0.01839599778528
0x8967E0eAd53C4A4c60fd1aDE925bdBe0c93D58fE,1036.02442158144
0x6b477e1EBbfbcd09b3FD3A48F32F0ce9c991581B,0.010221563218464
0x5Fe1d48622140c84FD89f8b01093de086C9798F5,0.01839599778528
0x5EF7F250f74d4F11A68054AE4e150705474a6D4a,990.7770179013121
0x5a69428DfE7aF2E64bc40e065E139CAf8FDb09B6,0.008331068252332801
0x555eEe16ef32EE87c46a50c0227a3BFA89e45EF9,0.25678386102988804
0x3D8a8980aC68554Da0AF80972ab992628B500808,37.707207335308794
0x3B0702b7664649321FB22174B48F1220f723810D,0.454421855530944
0x30713a9895E150D73fB7676D054814d30266F8F1,0.0151028830161216
0x290226b6B5C6daAe68a57e626481E7caF900F754,0.149879335917888
0x28170471dEC2A738301A2D792072817EE23b45C5,0.51356866038912
0x263a8a1297582c307A008DE90372fbC98bEC1BA8,1926.2238957504
0x10B850C3abFca78d693C9cD6FcE809c129109d1c,0.0035949740952153602
0x0141FE1110c12563DBe4E6161A1bC29Af98EA1a7,0.02029958244576
0xFB3375d76Cd1C487eE721A92342F9f59EF41e028,2.7594195562944
